station_id,pasture_id,timestamp,air_temp_f,humidity_pct,pressure_hpa,rainfall_in,soil_moisture_10cm,soil_moisture_30cm,soil_moisture_60cm,soil_temp_f,water_tank_pct,trough_level_pct,battery_voltage,solar_voltage,signal_strength,rssi,snr,hop_count,firmware_version,notes
NP1,CC-001,2026-04-19 19:00:00,74.72,37.02,1008.67,0.0,13.95,18.73,20.46,68.99,,,4.01,5.34,-93.0,-93.0,12.11,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-19 20:00:00,71.39,56.34,1005.62,0.063,11.79,17.98,21.33,65.35,,,4.03,5.49,-93.0,-93.0,9.67,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-19 21:00:00,67.55,51.46,1006.86,0.0,12.38,18.8,21.4,61.77,,,4.02,5.35,-89.3,-89.3,13.03,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-19 22:00:00,70.37,49.37,1008.31,0.0,12.61,17.76,20.28,63.79,,,3.99,5.31,-97.8,-97.8,11.41,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-19 23:00:00,67.36,42.22,1007.33,0.0,13.01,17.73,20.13,62.66,,,4.03,5.4,-99.4,-99.4,9.43,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 00:00:00,67.17,49.32,1011.74,0.089,13.9,19.22,21.17,60.74,,,4.04,5.41,-92.5,-92.5,10.27,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 01:00:00,67.41,53.89,1004.88,0.0,13.41,17.71,20.32,60.78,,,4.04,5.33,-98.0,-98.0,8.91,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 02:00:00,71.06,49.65,1008.15,0.0,11.36,18.47,19.63,65.21,,,4.04,5.24,-87.0,-87.0,5.46,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 03:00:00,74.44,44.81,1011.96,0.0,12.42,17.72,19.94,67.63,,,4.03,5.38,-94.4,-94.4,5.37,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 04:00:00,77.16,40.85,1006.42,0.0,13.11,18.61,20.55,70.42,,,4.03,5.38,-92.6,-92.6,6.95,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 05:00:00,85.41,34.76,1007.31,0.0,13.08,17.82,20.53,77.98,,,4.03,5.32,-89.6,-89.6,5.07,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 06:00:00,85.27,30.36,1010.84,0.0,13.39,18.36,21.2,77.46,,,4.03,5.6,-91.8,-91.8,6.3,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 07:00:00,93.35,42.63,1009.13,0.056,13.19,19.06,20.8,87.46,,,4.02,5.88,-86.0,-86.0,5.5,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 08:00:00,93.45,29.19,1006.72,0.0,14.87,18.89,21.18,86.89,,,4.02,5.95,-91.0,-91.0,5.78,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 09:00:00,97.77,31.15,1012.69,0.0,12.56,18.94,21.32,89.31,,,4.04,6.22,-92.2,-92.2,7.61,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 10:00:00,97.4,28.45,1014.32,0.0,13.37,19.24,21.26,89.37,,,4.02,6.19,-91.9,-91.9,7.97,1,rangeiq-mock-0.1,Dry ridge profile.
NP1,CC-001,2026-04-20 11:00:00,96.31,29.12,1006.59,0.0,14.61,18.95,20.86,87.31,,,4.02,6.2,-94.3,-94.3,7.84,1,rangeiq-mock-0.1,Dry ridge profile.
